File,Timestamp,PageNumber,HighlightedText,UserNote
"file:///media/My Files/Books/Men Without Women Stories by Haruki Murakami (z-lib.org).epub","12/21/2020 01:38",125,"The window next to his bed was streaked with water drops, a ceaseless cycle of new drops replacing the old. ",
"file:///media/My Files/Books/Men Without Women Stories by Haruki Murakami (z-lib.org).epub","12/28/2020 01:44",35,"Because, in the final analysis, the language we speak constitutes who we are as people.",
"file:///media/My Files/Books/Men Without Women Stories by Haruki Murakami (z-lib.org).epub","12/30/2020 01:05",56,"For no one knows what kind of dreams tomorrow will bring.",
"file:///media/My Files/Books/Men Without Women Stories by Haruki Murakami (z-lib.org).epub","1/1/2021 01:36",160,"“A Summer Place.”",
"file:///media/My Files/Books/Men Without Women Stories by Haruki Murakami (z-lib.org).epub","1/1/2021 01:41",157,"It’s quite easy to become Men Without Women. You love a woman deeply, and then she goes off somewhere. That’s all it takes. ",
"file:///sdcard/My Files/Books/Textbooks for school/Language Files Materials for an Introduction to Language and Linguistics by Department of Linguistics (z-lib.org).epub","1/6/2021 23:24",36," one could think of speech as an immediately physically transmittable form, while writing is a physically preservable form.",
"file:///sdcard/My Files/Books/Textbooks for school/Language Files Materials for an Introduction to Language and Linguistics by Department of Linguistics (z-lib.org).epub","1/6/2021 23:26",37,"Writing must be taught, whereas spoken language is acquired naturall",
"file:///sdcard/My Files/Books/Textbooks for school/Language Files Materials for an Introduction to Language and Linguistics by Department of Linguistics (z-lib.org).epub","1/6/2021 23:38",41,"Descriptive grammars allow for different varieties of a language; ","its like following language as it evolves."
"file:///sdcard/My Files/Books/Textbooks for school/Language Files Materials for an Introduction to Language and Linguistics by Department of Linguistics (z-lib.org).epub","1/6/2021 23:43",42,"these rules were formulated by people on the basis of something other than the actual language being spoken around them. ",
"file:///sdcard/My Files/Books/Textbooks for school/Language Files Materials for an Introduction to Language and Linguistics by Department of Linguistics (z-lib.org).epub","1/6/2021 23:46",44,"prescriptive rules allows a speaker of a nonstandard dialect to explicitly learn the rules of the standard dialect and employ them in appropriate social circumstances",keigo
"file:///sdcard/My Files/Books/Textbooks for school/Language Files Materials for an Introduction to Language and Linguistics by Department of Linguistics (z-lib.org).epub","1/7/2021 14:39",47,"children will learn the language(s) or dialect(s) that other people use to interact with them.",
"file:///sdcard/My Files/Books/Textbooks for school/Language Files Materials for an Introduction to Language and Linguistics by Department of Linguistics (z-lib.org).epub","1/7/2021 14:42",47,"The term arbitrary here refers to the fact that the meaning is not in any way predictable from the form, nor is the form dictated by the meaning. ",
"file:///sdcard/My Files/Books/Textbooks for school/Language Files Materials for an Introduction to Language and Linguistics by Department of Linguistics (z-lib.org).epub","1/7/2021 15:07",52,"does this mean that any communication system that exhibits all nine features should be considered a language?",
"file:///sdcard/My Files/Books/Textbooks for school/Language Files Materials for an Introduction to Language and Linguistics by Department of Linguistics (z-lib.org).epub","1/10/2021 23:35",70,"<th> sounds in thy and thigh",
"file:///sdcard/My Files/Books/Textbooks for school/Language Files Materials for an Introduction to Language and Linguistics by Department of Linguistics (z-lib.org).epub","1/10/2021 23:36",71,"The influence of one sound on a neighboring sound is known as co-articulation",
"file:///sdcard/My Files/Books/Textbooks for school/Language Files Materials for an Introduction to Language and Linguistics by Department of Linguistics (z-lib.org).epub","1/12/2021 23:54",77,"Sounds made with the vocal folds vibrating are called voiced sounds, and sounds made without such vibration are called voiceless sounds.",
"file:///media/My Files/Books/The Life-Changing Magic of Tidying Up The Japanese Art of Decluttering and Organizing by Marie Kondo (z-lib.org).epub","1/13/2021 23:41",21,"Putting things away creates the illusion that the clutter problem has been solved",
"file:///media/My Files/Books/Men Without Women Stories by Haruki Murakami (z-lib.org).epub","1/14/2021 23:32",28," If we hope to truly see another person, we have to start by looking within ourselves.”",
"file:///media/My Files/Books/Men Without Women Stories by Haruki Murakami (z-lib.org).epub","1/14/2021 23:54",19,"No, I had lots of pals back then. But once I grew up I no longer felt the need for them. Especially after I got married.”",
"file:///media/My Files/Books/Make It Stick The Science of Successful Learning by Peter C. Brown, Henry L. Roediger III, Mark A. McDaniel (z-lib.org).epub","9/26/2021 10:19",48,"critical sorting process",
"file:///media/My Files/Books/How to Talk to Girls Simplified 3 Steps How to Have Her at Hello and Attract Women Through Honesty by German Muhlenberg (z-lib.org) (1).epub","11/1/2021 22:49",32,"The issue is that it’s important to know how to direct conversations so that they’re exciting.",
"file:///media/My Files/Books/How to Talk to Girls Simplified 3 Steps How to Have Her at Hello and Attract Women Through Honesty by German Muhlenberg (z-lib.org) (1).epub","11/1/2021 22:51",33,"Statements also oblige us to share our thoughts with a woman and share who we are, thus showing vulnerability.",
"file:///media/My Files/Books/How to Talk to Girls Simplified 3 Steps How to Have Her at Hello and Attract Women Through Honesty by German Muhlenberg (z-lib.org) (1).epub","11/1/2021 23:10",34,"Why does she want the things she wants?",
"file:///media/My Files/Books/How to Talk to Girls Simplified 3 Steps How to Have Her at Hello and Attract Women Through Honesty by German Muhlenberg (z-lib.org) (1).epub","11/2/2021 08:33",31,"great conversations are pretty chaotic",
"file:///media/My Files/Books/How to Talk to Girls Simplified 3 Steps How to Have Her at Hello and Attract Women Through Honesty by German Muhlenberg (z-lib.org) (1).epub","11/2/2021 09:03",30,"that ","j
"
"file:///media/My Files/Books/How to Talk to Girls Simplified 3 Steps How to Have Her at Hello and Attract Women Through Honesty by German Muhlenberg (z-lib.org) (1).epub","11/2/2021 09:03",30,"that ","j
"
"file:///media/My Files/Books/How to Talk to Girls Simplified 3 Steps How to Have Her at Hello and Attract Women Through Honesty by German Muhlenberg (z-lib.org) (1).epub","11/2/2021 09:07",30,"If you do not generate fun, tension and conflict there is no emotion, there is no chemistry.","throw zest into conversation by not asking the same old boring factual interview like questions over and over. zest being humor, emotion, even conflict."
"file:///media/My Files/Books/How to Talk to Girls Simplified 3 Steps How to Have Her at Hello and Attract Women Through Honesty by German Muhlenberg (z-lib.org) (1).epub","11/2/2021 09:15",32,"say something about yourself like","""ive always wanted to live in japan""
""when i got addicted to anime it felt like an escape actually""
""i feel like cooking japanese food is hard but i want to learn."""
"file:///media/My Files/Books/How to Talk to Girls Simplified 3 Steps How to Have Her at Hello and Attract Women Through Honesty by German Muhlenberg (z-lib.org) (1).epub","11/2/2021 09:17",33,"based on some particular trait. Instead of asking what we want to know, we simply try to predict it.",
"file:///media/My Files/Books/How to Talk to Girls Simplified 3 Steps How to Have Her at Hello and Attract Women Through Honesty by German Muhlenberg (z-lib.org) (1).epub","11/2/2021 09:19",34,"My name is Jimmy, I'm 24 years old and I like to travel
 .","hi im jimmy and i love the sense of adventure when i travel."
"file:///media/My Files/Books/How to Talk to Girls Simplified 3 Steps How to Have Her at Hello and Attract Women Through Honesty by German Muhlenberg (z-lib.org) (1).epub","11/2/2021 09:20",34,"These are the things that make us unique, that is, different from the last 30 dudes who spoke with her",
"file:///media/My Files/Books/How to Talk to Anyone 92 Little Tricks for Big Success in Relationships by Leil Lowndes (z-lib.org).epub","11/3/2021 07:48",17,"Sticky Eyes",
"file:///media/My Files/Books/How to Talk to Anyone 92 Little Tricks for Big Success in Relationships by Leil Lowndes (z-lib.org).epub","11/3/2021 07:54",40,"match your listeners 
        mood, if only for a sentence or two. When it comes to small talk, think music, not words",
"file:///media/My Files/Books/How to Talk to Anyone 92 Little Tricks for Big Success in Relationships by Leil Lowndes (z-lib.org).epub","11/3/2021 07:57",42,"He made unoriginal remarks to set them at ease. ",
"file:///media/My Files/Books/How to Talk to Girls Simplified 3 Steps How to Have Her at Hello and Attract Women Through Honesty by German Muhlenberg (z-lib.org) (1).epub","11/3/2021 09:07",45,"As soon as they see an attractive woman, they worry too much about how to pick her up and not about their own fun, sabotaging themselves",
"file:///media/My Files/Books/How to Talk to Girls Simplified 3 Steps How to Have Her at Hello and Attract Women Through Honesty by German Muhlenberg (z-lib.org) (1).epub","11/3/2021 09:08",46,"do not deprive yourself of doing something you like for fear that she will reject you for it.",
"file:///media/My Files/Books/How to Talk to Girls Simplified 3 Steps How to Have Her at Hello and Attract Women Through Honesty by German Muhlenberg (z-lib.org) (1).epub","11/3/2021 09:10",46,"Treat her how you would treat your younger sister, act playful and annoying",
"file:///media/My Files/Books/How to Talk to Girls Simplified 3 Steps How to Have Her at Hello and Attract Women Through Honesty by German Muhlenberg (z-lib.org) (1).epub","11/3/2021 09:11",47,"you can repeat what she said and exaggerate her voice or accent in a funny way",
"file:///media/My Files/Books/How to Talk to Girls Simplified 3 Steps How to Have Her at Hello and Attract Women Through Honesty by German Muhlenberg (z-lib.org) (1).epub","11/3/2021 09:12",47," If she says “let's do it” (in any context), you can say,
 “I think you're going too fast”
 .",
"file:///media/My Files/Books/How to Talk to Girls Simplified 3 Steps How to Have Her at Hello and Attract Women Through Honesty by German Muhlenberg (z-lib.org) (1).epub","11/3/2021 09:22",48,"Are you like this with everyone?",
"file:///media/My Files/Books/How to Talk to Girls Simplified 3 Steps How to Have Her at Hello and Attract Women Through Honesty by German Muhlenberg (z-lib.org) (1).epub","11/3/2021 16:46",50,"don’t be afraid of not talking to her for one or several days",
"file:///media/My Files/Books/How to Talk to Anyone 92 Little Tricks for Big Success in Relationships by Leil Lowndes (z-lib.org).epub","11/7/2021 07:37",51,"Whenever people ask you what you do, give them 
        some mouth-to-ear resuscitation so they can catch their breath and say something",
"file:///media/My Files/Books/How to Talk to Anyone 92 Little Tricks for Big Success in Relationships by Leil Lowndes (z-lib.org).epub","11/7/2021 07:37",52,"Padding the introduction",
"file:///media/My Files/Books/How to Talk to Anyone 92 Little Tricks for Big Success in Relationships by Leil Lowndes (z-lib.org).epub","11/7/2021 07:38",54,"Top communicators know ideas dont come out of nowhere. If Mrs. Otis thought to bring up 
        plants, then she must have some relationship with them.",
"file:///media/My Files/Books/How to Talk to Anyone 92 Little Tricks for Big Success in Relationships by Leil Lowndes (z-lib.org).epub","11/7/2021 07:54",63,"But at least be prepared in case inspiration doesnt hit.
      The best way to ensure youre conversationally in the swing of things is to listen to a 
        newscast just before you leave.",
"file:///media/My Files/Books/How to Talk to Girls Simplified 3 Steps How to Have Her at Hello and Attract Women Through Honesty by German Muhlenberg (z-lib.org) (1).epub","11/9/2021 06:45",36,"Just giving her small touches on the arm is usually enough",
"file:///media/My Files/Books/How to Talk to Girls Simplified 3 Steps How to Have Her at Hello and Attract Women Through Honesty by German Muhlenberg (z-lib.org) (1).epub","11/9/2021 06:47",37," If you find yourself in this situation, what I recommend most is to confess to her that you like her.",
"file:///media/My Files/Books/How to Talk to Girls Simplified 3 Steps How to Have Her at Hello and Attract Women Through Honesty by German Muhlenberg (z-lib.org) (1).epub","11/9/2021 06:56",24,"men prioritize women, thus losing their own identity, their own purpose and life",
"file:///media/My Files/Books/How to Talk to Girls Simplified 3 Steps How to Have Her at Hello and Attract Women Through Honesty by German Muhlenberg (z-lib.org) (1).epub","11/9/2021 06:57",24,"A lack of self-confidence and a lack of a clear purpose in life are the main shortcomings of an emotionally helpless person, who will tend to prioritize other people over themselves",
"file:///media/My Files/Books/How to Talk to Girls Simplified 3 Steps How to Have Her at Hello and Attract Women Through Honesty by German Muhlenberg (z-lib.org) (1).epub","11/9/2021 07:00",25,"Let's face it, if we're nervous, it's okay.",
"file:///media/My Files/Books/How to Talk to Girls Simplified 3 Steps How to Have Her at Hello and Attract Women Through Honesty by German Muhlenberg (z-lib.org) (1).epub","11/9/2021 07:11",26,"most people don’t remember what the first words were but the presence, look, emotional need and so on. This is another reason why we shouldn’t worry so much about “what” to say.",
"file:///media/My Files/Books/How to Talk to Girls Simplified 3 Steps How to Have Her at Hello and Attract Women Through Honesty by German Muhlenberg (z-lib.org) (1).epub","11/9/2021 07:19",27," presenting yourself in an honest, open way in most cases has a positive or neutral reception",
"file:///media/My Files/Books/How to Talk to Girls Simplified 3 Steps How to Have Her at Hello and Attract Women Through Honesty by German Muhlenberg (z-lib.org) (1).epub","11/9/2021 07:27",29,"Suddenly, she went from being a goddess to a human being... to a woman.",
"file:///media/My Files/Books/Men Without Women Stories by Haruki Murakami (z-lib.org).epub","11/9/2021 09:08",14," He liked her smooth and assured driving, her lack of chatter, and the way she kept her feelings to herself.",
"file:///media/My Files/Books/Men Without Women Stories by Haruki Murakami (z-lib.org).epub","11/10/2021 08:45",16,"He was lost in those thoughts at the crematorium as he plucked her bones from the ashes. ",
"file:///media/My Files/Books/Men Without Women Stories by Haruki Murakami (z-lib.org).epub","11/10/2021 08:46",16,"Yet he continued to return to his core principle: that, in every situation, knowledge was better than ignorance.",
"file:///media/My Files/Books/Men Without Women Stories by Haruki Murakami (z-lib.org).epub","11/10/2021 08:52",18,"Did you ever not want to go back?”",
"file:///media/My Files/Books/Men Without Women Stories by Haruki Murakami (z-lib.org).epub","11/10/2021 08:55",18,"Performing allowed me to be someone other than myself. And I could revert back when the performance ended. ",
"file:///media/My Files/Books/Men Without Women Stories by Haruki Murakami (z-lib.org).epub","11/10/2021 12:13",27,"But, Mr. Kafuku, can any of us ever perfectly understand another person? However much we may lov",
"file:///media/My Files/Books/Men Without Women Stories by Haruki Murakami (z-lib.org).epub","11/10/2021 12:15",28,"But the proposition that we can look into another person’s heart with perfect clarity strikes me as a fool’s game. ",
"file:///media/My Files/Books/Seduction Simplified Full version How to Create Powerful Self Confidence Habits to Change Your Life with women by German Muhlenberg (z-lib.org).epub","11/12/2021 06:59",18,"If you think you are not worth a dime, that’s what you are going to project onto others. ",
"file:///media/My Files/Books/Seduction Simplified Full version How to Create Powerful Self Confidence Habits to Change Your Life with women by German Muhlenberg (z-lib.org).epub","11/12/2021 07:04",25,"The main problem of defining our identity through material possessions is that it implies that what we are looking for is external validation. ",
"file:///media/My Files/Books/Seduction Simplified Full version How to Create Powerful Self Confidence Habits to Change Your Life with women by German Muhlenberg (z-lib.org).epub","11/12/2021 07:06",25,"loss aversion. This is a psychological concept stating that the grief we derive from losing",
"file:///media/My Files/Books/Seduction Simplified Full version How to Create Powerful Self Confidence Habits to Change Your Life with women by German Muhlenberg (z-lib.org).epub","11/12/2021 07:07",25,"What we stand for― our values, our behavior, our passions, our relationships, our beliefs, our actions― is the sum total of everything we do",
"file:///media/My Files/Books/Seduction Simplified Full version How to Create Powerful Self Confidence Habits to Change Your Life with women by German Muhlenberg (z-lib.org).epub","11/12/2021 07:11",26,"we should rebel against mediocrity, and do our best, be the best version of ourselves",
"file:///media/My Files/Books/Seduction Simplified Full version How to Create Powerful Self Confidence Habits to Change Your Life with women by German Muhlenberg (z-lib.org).epub","11/12/2021 07:14",27,"Similarly, he will judge people according to how much they earn and how much they spend",
"file:///media/My Files/Books/Seduction Simplified Full version How to Create Powerful Self Confidence Habits to Change Your Life with women by German Muhlenberg (z-lib.org).epub","11/12/2021 07:14",27," we tend to pair off with people who identify with the values we hold",
"file:///media/My Files/Books/Seduction Simplified Full version How to Create Powerful Self Confidence Habits to Change Your Life with women by German Muhlenberg (z-lib.org).epub","11/12/2021 11:48",29,"The key is that we conscientiously choose what sorts of people we want to hang out with, wheth",
"file:///media/My Files/Books/Seduction Simplified Full version How to Create Powerful Self Confidence Habits to Change Your Life with women by German Muhlenberg (z-lib.org).epub","11/12/2021 11:49",31,"she focuses on its social side ―interacting with people― rather than on the actual baking.",
"file:///media/My Files/Books/Seduction Simplified Full version How to Create Powerful Self Confidence Habits to Change Your Life with women by German Muhlenberg (z-lib.org).epub","11/12/2021 11:51",35,"The more we develop our lifestyle, the more chances we will have to relate to women we like.",
"file:///media/My Files/Books/Seduction Simplified Full version How to Create Powerful Self Confidence Habits to Change Your Life with women by German Muhlenberg (z-lib.org).epub","11/12/2021 11:53",36,"they are prone to get together with those who share the same values, ideology, socioeconomic status, etc.",
"file:///media/My Files/Books/Seduction Simplified Full version How to Create Powerful Self Confidence Habits to Change Your Life with women by German Muhlenberg (z-lib.org).epub","11/12/2021 11:56",36,"if we could do whatever we wanted, free of limitations and without chances",
"file:///media/My Files/Books/Seduction Simplified Full version How to Create Powerful Self Confidence Habits to Change Your Life with women by German Muhlenberg (z-lib.org).epub","11/12/2021 11:56",37,"of failure, what would we do? What kind of a mark would we like to leave behind? How would we like to relate to those around us?",
"file:///media/My Files/Books/Seduction Simplified Full version How to Create Powerful Self Confidence Habits to Change Your Life with women by German Muhlenberg (z-lib.org).epub","11/12/2021 12:18",39," If you acknowledge how you feel ―instead of trying to resist it and hide it―, it will be easier to feel better.",
"file:///media/My Files/Books/Seduction Simplified Full version How to Create Powerful Self Confidence Habits to Change Your Life with women by German Muhlenberg (z-lib.org).epub","11/12/2021 12:24",39,"We shouldn’t deny our feelings; we should first and foremost be honest with ourselves. Life is a collection of contrasting emotions. ",
"file:///media/My Files/Books/Eleanor Oliphant Is Completely Fine by Honeyman Gail (z-lib.org).epub","11/15/2021 08:51",10,"There are days when I feel so lightly connected to the earth that the threads that tether me to the planet are gossamer thin, spun sugar. ",
"file:///media/My Files/Books/Eleanor Oliphant Is Completely Fine by Honeyman Gail (z-lib.org).epub","11/15/2021 08:59",13,". I’m a sole survivor—I’m Eleanor Oliphant. I don’t need anyone else—there’s no big hole in my life, no missing part of my own particular puzzle. I am a self-contained entity. ",
"file:///media/My Files/Books/Seduction Simplified Full version How to Create Powerful Self Confidence Habits to Change Your Life with women by German Muhlenberg (z-lib.org).epub","11/15/2021 09:16",43,"Ideas function as a sort of wiring within our minds, they interconnect with one another.",
"file:///media/My Files/Books/Seduction Simplified Full version How to Create Powerful Self Confidence Habits to Change Your Life with women by German Muhlenberg (z-lib.org).epub","11/15/2021 09:17",43,"they might have gone through situations which made them feel shy, but that doesn’t condition their future,",
"file:///media/My Files/Books/Seduction Simplified Full version How to Create Powerful Self Confidence Habits to Change Your Life with women by German Muhlenberg (z-lib.org).epub","11/15/2021 23:21",48,"they can leave whenever they want.",
"file:///media/My Files/Books/Seduction Simplified Full version How to Create Powerful Self Confidence Habits to Change Your Life with women by German Muhlenberg (z-lib.org).epub","11/15/2021 23:31",50,"n seduction, like in many other arts, less is more",
"file:///media/My Files/Books/Seduction Simplified Full version How to Create Powerful Self Confidence Habits to Change Your Life with women by German Muhlenberg (z-lib.org).epub","11/16/2021 08:50",51,"emotional need is not something we can hide forever. Developing true emotional independence takes time.",
"file:///media/My Files/Books/Seduction Simplified Full version How to Create Powerful Self Confidence Habits to Change Your Life with women by German Muhlenberg (z-lib.org).epub","11/16/2021 08:51",52,"Not showing yourself as you really are, and not showing vulnerability, is a sign of emotional need, because it means you care too much about what other people say, and you value their perception more than your own. ",
"file:///media/My Files/Books/Seduction Simplified Full version How to Create Powerful Self Confidence Habits to Change Your Life with women by German Muhlenberg (z-lib.org).epub","11/16/2021 09:02",53,"It is necessary that we speak the language of feelings.",
"file:///media/My Files/Books/Seduction Simplified Full version How to Create Powerful Self Confidence Habits to Change Your Life with women by German Muhlenberg (z-lib.org).epub","11/16/2021 09:02",53,"Perhaps conversations with women end up becoming dull because you try to avoid saying things which might upset them",
"file:///media/My Files/Books/Seduction Simplified Full version How to Create Powerful Self Confidence Habits to Change Your Life with women by German Muhlenberg (z-lib.org).epub","11/16/2021 09:05",54,"it is important that you share your true feelings ―it is at that level that real trust is born.",
"file:///media/My Files/Books/Seduction Simplified Full version How to Create Powerful Self Confidence Habits to Change Your Life with women by German Muhlenberg (z-lib.org).epub","11/16/2021 12:52",55,"Meeting women then should be a consequence of a man’s personal development, not his primary goal.",
"file:///media/My Files/Books/Seduction Simplified Full version How to Create Powerful Self Confidence Habits to Change Your Life with women by German Muhlenberg (z-lib.org).epub","11/16/2021 12:55",55,"―we become capable of genuinely believing in ourselves. ",
"file:///media/My Files/Books/Seduction Simplified Full version How to Create Powerful Self Confidence Habits to Change Your Life with women by German Muhlenberg (z-lib.org).epub","11/16/2021 12:57",56,"So we need to dismantle the arguments and mechanisms our mind employs to justify behaviors that make us feel unhappy.",
"file:///media/My Files/Books/Seduction Simplified Full version How to Create Powerful Self Confidence Habits to Change Your Life with women by German Muhlenberg (z-lib.org).epub","11/16/2021 13:00",56,"Questioning our motives is an extremely healthy exercise,",
"file:///media/My Files/Books/Seduction Simplified Full version How to Create Powerful Self Confidence Habits to Change Your Life with women by German Muhlenberg (z-lib.org).epub","11/16/2021 13:01",57,"We run the risk of being rejected or disliked by some people, but we may also touch upon others’ feelings and desires.",
"file:///media/My Files/Books/Seduction Simplified Full version How to Create Powerful Self Confidence Habits to Change Your Life with women by German Muhlenberg (z-lib.org).epub","11/16/2021 13:02",57,"polarizing generates amazement in others",
"file:///media/My Files/Books/Seduction Simplified Full version How to Create Powerful Self Confidence Habits to Change Your Life with women by German Muhlenberg (z-lib.org).epub","11/16/2021 13:08",58,"There’s no point in wasting time with someone who has no real interest in you. It’s important, however, that we are understanding",
